variant,cell,loss%,final_mean,final_p10,day1_money,day1_income,income_total,rent_total,upg_total,cards,deaths
A_live,P1_zayif_hic,19.7,218,49,516,20,1288,1350,0,0,"{'bankrupt@16': 48, 'bankrupt@12': 11}"
A_live,P1_zayif_acgozlu,100.0,220,116,219,23,829,122,838,12.0,"{'bankrupt@12': 291, 'bankrupt@16': 9}"
A_live,P1_zayif_mantikli,91.7,314,223,219,23,971,318,681,8.9,"{'bankrupt@12': 204, 'bankrupt@16': 71}"
A_live,P1_orta_hic,0.0,1131,679,532,34,2268,1556,0,0,{}
A_live,P1_orta_acgozlu,54.3,272,82,235,38,2385,584,1930,19.7,"{'bankrupt@12': 123, 'bankrupt@16': 40}"
A_live,P1_orta_mantikli,14.3,289,63,235,38,2679,1073,1715,17.7,"{'bankrupt@16': 15, 'bankrupt@12': 28}"
A_live,P1_iyi_hic,0.0,2474,1852,552,53,3413,1557,0,0,{}
A_live,P1_iyi_acgozlu,8.7,1687,332,244,46,4686,931,2705,23.4,"{'bankrupt@12': 25, 'bankrupt@16': 1}"
A_live,P1_iyi_mantikli,0.7,1504,466,244,46,4831,1292,2662,23.1,{'bankrupt@12': 2}
A_live,P2_zayif_hic,21.3,465,121,626,33,3150,2928,0,0,"{'bankrupt@16': 20, 'bankrupt@12': 42, 'bankrupt@8': 2}"
A_live,P2_zayif_acgozlu,100.0,537,367,385,32,2208,313,1723,14.0,"{'bankrupt@12': 296, 'bankrupt@16': 4}"
A_live,P2_zayif_mantikli,92.0,629,374,529,32,1801,731,841,7.4,"{'bankrupt@12': 67, 'bankrupt@8': 189, 'bankrupt@16': 20}"
A_live,P2_orta_hic,0.0,3392,2617,686,95,6370,3489,0,0,{}
A_live,P2_orta_acgozlu,15.7,2781,676,441,89,8400,1742,4274,23.3,{'bankrupt@12': 47}
A_live,P2_orta_mantikli,5.7,2247,740,585,89,8661,2814,3989,22.0,"{'bankrupt@12': 5, 'bankrupt@8': 12}"
A_live,P2_iyi_hic,0.0,6671,5631,746,150,9304,3489,0,0,{}
A_live,P2_iyi_acgozlu,0.0,8905,6634,499,143,15083,2532,4425,23.8,{}
A_live,P2_iyi_mantikli,0.0,8294,6069,643,143,14872,2925,4422,23.8,{}
A_live,P3_zayif_hic,45.3,901,199,796,86,4683,4157,0,0,"{'bankrupt@16': 31, 'bankrupt@12': 98, 'bankrupt@8': 7}"
A_live,P3_zayif_acgozlu,100.0,886,616,477,83,3434,487,2511,14.8,"{'bankrupt@12': 298, 'bankrupt@16': 2}"
A_live,P3_zayif_mantikli,95.3,1087,795,796,86,2645,1011,1077,6.9,"{'bankrupt@12': 65, 'bankrupt@8': 216, 'bankrupt@16': 5}"
A_live,P3_orta_hic,0.0,4475,3459,862,150,9982,6120,0,0,{}
A_live,P3_orta_acgozlu,13.0,5677,1393,541,145,13801,2930,5666,23.5,{'bankrupt@12': 39}
A_live,P3_orta_mantikli,7.0,3425,1384,862,150,12890,4802,5160,21.8,"{'bankrupt@12': 8, 'bankrupt@8': 13}"
A_live,P3_iyi_hic,0.0,7747,6381,926,210,12860,6120,0,0,{}
A_live,P3_iyi_acgozlu,0.0,12304,9468,610,209,21257,4151,5723,23.7,{}
A_live,P3_iyi_mantikli,0.0,10717,7862,926,210,20744,5095,5844,23.9,{}
A_live,P4_zayif_hic,61.0,1420,339,937,83,5713,4818,0,0,"{'bankrupt@12': 136, 'bankrupt@16': 16, 'bankrupt@8': 31}"
A_live,P4_zayif_acgozlu,99.3,1341,912,566,87,4993,725,3499,16.0,{'bankrupt@12': 298}
A_live,P4_zayif_mantikli,96.3,1493,1178,937,83,3238,1423,1001,5.8,"{'bankrupt@8': 248, 'bankrupt@12': 39, 'bankrupt@16': 2}"
A_live,P4_orta_hic,0.0,4575,3126,1095,243,12533,8742,0,0,{}
A_live,P4_orta_acgozlu,16.7,7150,1558,712,235,17225,3960,6741,23.5,{'bankrupt@12': 50}
A_live,P4_orta_mantikli,9.3,4097,1666,1095,243,15885,6670,5780,20.9,"{'bankrupt@8': 17, 'bankrupt@12': 11}"
A_live,P4_iyi_hic,0.0,8558,6937,1091,230,16136,8750,0,0,{}
A_live,P4_iyi_acgozlu,0.0,14506,10790,704,219,25857,5631,6818,23.8,{}
A_live,P4_iyi_mantikli,0.0,11682,8352,1091,230,24886,7301,7001,23.9,{}
B_pmult_eski,P1_zayif_hic,19.7,218,49,516,20,1288,1350,0,0,"{'bankrupt@16': 48, 'bankrupt@12': 11}"
B_pmult_eski,P1_zayif_acgozlu,100.0,220,116,219,23,829,122,838,12.0,"{'bankrupt@12': 291, 'bankrupt@16': 9}"
B_pmult_eski,P1_zayif_mantikli,91.7,314,223,219,23,971,318,681,8.9,"{'bankrupt@12': 204, 'bankrupt@16': 71}"
B_pmult_eski,P1_orta_hic,0.0,1131,679,532,34,2268,1556,0,0,{}
B_pmult_eski,P1_orta_acgozlu,54.3,272,82,235,38,2385,584,1930,19.7,"{'bankrupt@12': 123, 'bankrupt@16': 40}"
B_pmult_eski,P1_orta_mantikli,14.3,289,63,235,38,2679,1073,1715,17.7,"{'bankrupt@16': 15, 'bankrupt@12': 28}"
B_pmult_eski,P1_iyi_hic,0.0,2474,1852,552,53,3413,1557,0,0,{}
B_pmult_eski,P1_iyi_acgozlu,8.7,1687,332,244,46,4686,931,2705,23.4,"{'bankrupt@12': 25, 'bankrupt@16': 1}"
B_pmult_eski,P1_iyi_mantikli,0.7,1504,466,244,46,4831,1292,2662,23.1,{'bankrupt@12': 2}
B_pmult_eski,P2_zayif_hic,21.3,465,121,626,33,3150,2928,0,0,"{'bankrupt@16': 20, 'bankrupt@12': 42, 'bankrupt@8': 2}"
B_pmult_eski,P2_zayif_acgozlu,100.0,541,374,325,32,2095,293,1621,11.9,"{'bankrupt@12': 298, 'bankrupt@16': 2}"
B_pmult_eski,P2_zayif_mantikli,96.0,647,458,505,32,1649,695,718,5.8,"{'bankrupt@8': 195, 'bankrupt@12': 74, 'bankrupt@16': 19}"
B_pmult_eski,P2_orta_hic,0.0,3392,2617,686,95,6370,3489,0,0,{}
B_pmult_eski,P2_orta_acgozlu,19.7,1374,465,381,89,7589,1827,4832,22.0,"{'bankrupt@12': 54, 'bankrupt@16': 5}"
B_pmult_eski,P2_orta_mantikli,15.3,1277,500,561,89,7397,2606,3945,19.0,"{'bankrupt@12': 14, 'bankrupt@8': 32}"
B_pmult_eski,P2_iyi_hic,0.0,6671,5631,746,150,9304,3489,0,0,{}
B_pmult_eski,P2_iyi_acgozlu,0.3,7151,4661,440,143,14290,2429,5505,23.8,{'bankrupt@12': 1}
B_pmult_eski,P2_iyi_mantikli,0.0,6232,4060,620,143,13978,2958,5569,23.8,{}
B_pmult_eski,P3_zayif_hic,45.3,901,199,796,86,4683,4157,0,0,"{'bankrupt@16': 31, 'bankrupt@12': 98, 'bankrupt@8': 7}"
B_pmult_eski,P3_zayif_acgozlu,100.0,908,632,615,83,3397,496,2466,11.9,"{'bankrupt@12': 266, 'bankrupt@8': 33, 'bankrupt@16': 1}"
